document,topicId,distribution,period
502,0,0.277,1
502,1,0.723,1
503,0,0.2913,1
503,1,0.7087,1
504,0,0.5806,1
504,1,0.4194,1
505,0,0.4249,1
505,1,0.5751,1
506,0,0.3723,1
506,1,0.6277,1
507,0,0.3581,1
507,1,0.6419,1
508,0,0.2329,1
508,1,0.7671,1
509,0,0.4872,1
509,1,0.5128,1
510,0,0.3001,1
510,1,0.6999,1
511,0,0.4572,1
511,1,0.5428,1
512,0,0.6022,1
512,1,0.3978,1
513,0,0.4147,1
513,1,0.5853,1
514,0,0.6361,1
514,1,0.3639,1
515,0,0.3674,1
515,1,0.6326,1
516,0,0.5509,1
516,1,0.4491,1
517,0,0.6615,1
517,1,0.3385,1
518,0,0.2501,1
518,1,0.7499,1
519,0,0.2194,1
519,1,0.7806,1
520,0,0.255,1
520,1,0.745,1
521,0,0.3479,1
521,1,0.6521,1
522,0,0.5092,1
522,1,0.4908,1
523,0,0.3429,1
523,1,0.6571,1
524,0,0.3872,1
524,1,0.6128,1
525,0,0.336,1
525,1,0.664,1
526,0,0.5201,1
526,1,0.4799,1
527,0,0.2963,1
527,1,0.7037,1
528,0,0.1295,1
528,1,0.8705,1
529,0,0.1603,1
529,1,0.8397,1
530,0,0.5185,1
530,1,0.4815,1
531,0,0.2894,1
531,1,0.7106,1
532,0,0.7622,1
532,1,0.2378,1
533,0,0.7939,1
533,1,0.2061,1
534,0,0.6874,1
534,1,0.3126,1
535,0,0.7903,1
535,1,0.2097,1
536,0,0.1544,1
536,1,0.8456,1
537,0,0.3393,1
537,1,0.6607,1
538,0,0.5992,1
538,1,0.4008,1
539,0,0.1902,1
539,1,0.8098,1
540,0,0.1986,1
540,1,0.8014,1
541,0,0.1846,1
541,1,0.8154,1
542,0,0.2822,1
542,1,0.7178,1
543,0,0.198,1
543,1,0.802,1
544,0,0.151,1
544,1,0.849,1
545,0,0.5453,1
545,1,0.4547,1
546,0,0.7202,1
546,1,0.2798,1
547,0,0.5428,1
547,1,0.4572,1
548,0,0.3893,1
548,1,0.6107,1
549,0,0.5526,1
549,1,0.4474,1
550,0,0.2089,1
550,1,0.7911,1
551,0,0.1879,1
551,1,0.8121,1
552,0,0.3882,1
552,1,0.6118,1
553,0,0.3847,1
553,1,0.6153,1
554,0,0.3754,1
554,1,0.6246,1
555,0,0.504,1
555,1,0.496,1
556,0,0.3531,1
556,1,0.6469,1
557,0,0.4937,1
557,1,0.5063,1
558,0,0.5903,1
558,1,0.4097,1
559,0,0.8401,1
559,1,0.1599,1
560,0,0.6274,1
560,1,0.3726,1
561,0,0.3313,1
561,1,0.6687,1
562,0,0.3721,1
562,1,0.6279,1
563,0,0.6485,1
563,1,0.3515,1
564,0,0.491,1
564,1,0.509,1
565,0,0.9328,1
565,1,0.0672,1
566,0,0.1482,1
566,1,0.8518,1
567,0,0.4004,1
567,1,0.5996,1
568,0,0.2772,1
568,1,0.7228,1
569,0,0.3592,1
569,1,0.6408,1
570,0,0.3105,1
570,1,0.6895,1
571,0,0.167,1
571,1,0.833,1
572,0,0.3144,1
572,1,0.6856,1
573,0,0.4516,1
573,1,0.5484,1
574,0,0.5194,1
574,1,0.4806,1
575,0,0.2383,1
575,1,0.7617,1
576,0,0.3037,1
576,1,0.6963,1
577,0,0.738,1
577,1,0.262,1
578,0,0.4258,1
578,1,0.5742,1
579,0,0.3712,1
579,1,0.6288,1
580,0,0.3673,1
580,1,0.6327,1
581,0,0.1635,1
581,1,0.8365,1
582,0,0.3002,1
582,1,0.6998,1
583,0,0.3663,1
583,1,0.6337,1
584,0,0.7269,1
584,1,0.2731,1
585,0,0.3722,1
585,1,0.6278,1
586,0,0.2532,1
586,1,0.7468,1
587,0,0.1003,1
587,1,0.8997,1
588,0,0.4271,1
588,1,0.5729,1
589,0,0.7499,1
589,1,0.2501,1
590,0,0.7688,1
590,1,0.2312,1
591,0,0.6664,1
591,1,0.3336,1
592,0,0.4118,1
592,1,0.5882,1
593,0,0.4946,1
593,1,0.5054,1
594,0,0.7306,1
594,1,0.2694,1
595,0,0.5484,1
595,1,0.4516,1
596,0,0.6807,1
596,1,0.3193,1
597,0,0.2384,1
597,1,0.7616,1
598,0,0.3833,1
598,1,0.6167,1
599,0,0.1305,1
599,1,0.8695,1
600,0,0.2568,1
600,1,0.7432,1
601,0,0.6137,1
601,1,0.3863,1
602,0,0.2656,1
602,1,0.7344,1
603,0,0.6088,1
603,1,0.3912,1
604,0,0.4288,1
604,1,0.5712,1
605,0,0.5012,1
605,1,0.4988,1
606,0,0.6128,1
606,1,0.3872,1
607,0,0.6664,1
607,1,0.3336,1
608,0,0.1132,1
608,1,0.8868,1
609,0,0.1937,1
609,1,0.8063,1
610,0,0.1257,1
610,1,0.8743,1
611,0,0.0879,1
611,1,0.9121,1
612,0,0.4334,1
612,1,0.5666,1
613,0,0.292,1
613,1,0.708,1
614,0,0.1995,1
614,1,0.8005,1
615,0,0.2202,1
615,1,0.7798,1
616,0,0.7045,1
616,1,0.2955,1
617,0,0.476,1
617,1,0.524,1
618,0,0.2002,1
618,1,0.7998,1
619,0,0.5555,1
619,1,0.4445,1
620,0,0.3556,1
620,1,0.6444,1
621,0,0.067,1
621,1,0.933,1
622,0,0.2913,1
622,1,0.7087,1
623,0,0.0004,1
623,1,0.9996,1
624,0,0.1894,1
624,1,0.8106,1
625,0,0.1844,1
625,1,0.8156,1
626,0,0.1788,1
626,1,0.8212,1
627,0,0.3996,1
627,1,0.6004,1
628,0,0.1661,1
628,1,0.8339,1
629,0,0.5,1
629,1,0.5,1
630,0,0.3768,1
630,1,0.6232,1
631,0,0.3324,1
631,1,0.6676,1
632,0,0.2184,1
632,1,0.7816,1
633,0,0.112,1
633,1,0.888,1
634,0,0.2341,1
634,1,0.7659,1
635,0,0.363,1
635,1,0.637,1
636,0,0.2498,1
636,1,0.7502,1
637,0,0.3954,1
637,1,0.6046,1
638,0,0.2986,1
